,objective_description,objective_formulation,constraint_description,constraint_formulation,labels,description,problem_name
0,"""The goal is to maximize the total profit from investing in the real-estate market""",$\max \left( \text{ProfitPerDollarCondos} \cdot \text{investmentCondos} + \text{ProfitPerDollarDetachedHouses} \cdot \text{investmentDetachedHouses} \right)$,The total investment in condos and detached houses should not exceed the TotalBudget,$investmentCondos + investmentDetachedHouses \leq TotalBudget$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Finance and Banking']}","Mrs. Watson wants to invest in the real-estate market and has a total budget of at most TotalBudget. She has two choices which include condos and detached houses. Each dollar invested in condos yields a ProfitPerDollarCondos profit and each dollar invested in detached houses yields a ProfitPerDollarHouses profit. A minimum of MinPercentageCondos of the total investment must be in condos, and at least MinInvestmentDetached must be invested in detached houses.",1
1,"""The goal is to maximize the total profit from investing in the real-estate market""",$\max \left( \text{ProfitPerDollarCondos} \cdot \text{investmentCondos} + \text{ProfitPerDollarDetachedHouses} \cdot \text{investmentDetachedHouses} \right)$,The investment in condos must be at least MinPercentageCondos percent of the total investment,$investmentCondos \\geq MinPercentageCondos \\times (investmentCondos + investmentDetachedHouses)$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Finance and Banking']}","Mrs. Watson wants to invest in the real-estate market and has a total budget of at most TotalBudget. She has two choices which include condos and detached houses. Each dollar invested in condos yields a ProfitPerDollarCondos profit and each dollar invested in detached houses yields a ProfitPerDollarHouses profit. A minimum of MinPercentageCondos of the total investment must be in condos, and at least MinInvestmentDetached must be invested in detached houses.",1
2,"""The goal is to maximize the total profit from investing in the real-estate market""",$\max \left( \text{ProfitPerDollarCondos} \cdot \text{investmentCondos} + \text{ProfitPerDollarDetachedHouses} \cdot \text{investmentDetachedHouses} \right)$,The investment in detached houses must be at least MinInvestmentDetachedHouses,$investmentDetachedHouses \geq MinInvestmentDetachedHouses$,"{'types': ['Resource Allocation and Management', 'Portfolio Optimization'], 'domains': ['Finance and Banking']}","Mrs. Watson wants to invest in the real-estate market and has a total budget of at most TotalBudget. She has two choices which include condos and detached houses. Each dollar invested in condos yields a ProfitPerDollarCondos profit and each dollar invested in detached houses yields a ProfitPerDollarHouses profit. A minimum of MinPercentageCondos of the total investment must be in condos, and at least MinInvestmentDetached must be invested in detached houses.",1
3,"""The goal is to maximize the total profit from producing regular and special sandwiches""",$\max (\text{ProfitRegular} \times x + \text{ProfitSpecial} \times y)$,The total number of eggs used by regular and special sandwiches should not exceed the total number of eggs available,$EggsRegular \cdot x + EggsSpecial \cdot y \leq TotalEggs$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A breakfast joint makes two different sandwiches: a regular and a special. Both need eggs and bacon. Each regular sandwich requires EggsPerRegular eggs and BaconPerRegular slices of bacon. Each special sandwich requires EggsPerSpecial eggs and BaconPerSpecial slices of bacon. The joint has a total of TotalEggs eggs and TotalBacon slices of bacon. It makes a profit of ProfitRegular per regular sandwich and a profit of ProfitSpecial per special sandwich. How many of each sandwich should be made to maximize profit?,2
4,"""The goal is to maximize the total profit from producing regular and special sandwiches""",$\max (\text{ProfitRegular} \times x + \text{ProfitSpecial} \times y)$,The total number of bacon slices used by regular and special sandwiches should not exceed the total number of bacon slices available,$x \times \text{BaconRegular} + y \times \text{BaconSpecial} \leq \text{TotalBacon}$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Food and Beverage']}",A breakfast joint makes two different sandwiches: a regular and a special. Both need eggs and bacon. Each regular sandwich requires EggsPerRegular eggs and BaconPerRegular slices of bacon. Each special sandwich requires EggsPerSpecial eggs and BaconPerSpecial slices of bacon. The joint has a total of TotalEggs eggs and TotalBacon slices of bacon. It makes a profit of ProfitRegular per regular sandwich and a profit of ProfitSpecial per special sandwich. How many of each sandwich should be made to maximize profit?,2
5,"""The goal is to maximize the exposure for the new product by determining the optimal number of radio and social media advertisements within the budget and given constraints.""",$\max \text{ExposureRadioAd} \times \text{numRadioAds} + \text{ExposureSocialMediaAd} \times \text{numSocialMediaAds}$,Total cost of radio ads and social media ads should not exceed the TotalBudget,$CostRadioAd \\times numRadioAds + CostSocialMediaAd \\times numSocialMediaAds \\leq TotalBudget$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}",A cleaning company aims to maximize exposure for promoting their new product without exceeding their TotalBudget. They will advertise using radio ads and social media ads. Each radio ad costs CostRadioAd and provides ExposureRadioAd exposure. Each social media ad costs CostSocialMediaAd and delivers ExposureSocialMediaAd exposure. The company aims to run between MinRadioAds and MaxRadioAds radio ads and at least MinSocialMediaAds social media ads while staying within the TotalBudget.,3
6,"""The goal is to maximize the exposure for the new product by determining the optimal number of radio and social media advertisements within the budget and given constraints.""",$\max \text{ExposureRadioAd} \times \text{numRadioAds} + \text{ExposureSocialMediaAd} \times \text{numSocialMediaAds}$,The number of radio advertisements should be at least MinRadioAds,$\\text{numRadioAds} \\ge \\text{MinRadioAds}$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}",A cleaning company aims to maximize exposure for promoting their new product without exceeding their TotalBudget. They will advertise using radio ads and social media ads. Each radio ad costs CostRadioAd and provides ExposureRadioAd exposure. Each social media ad costs CostSocialMediaAd and delivers ExposureSocialMediaAd exposure. The company aims to run between MinRadioAds and MaxRadioAds radio ads and at least MinSocialMediaAds social media ads while staying within the TotalBudget.,3
7,"""The goal is to maximize the exposure for the new product by determining the optimal number of radio and social media advertisements within the budget and given constraints.""",$\max \text{ExposureRadioAd} \times \text{numRadioAds} + \text{ExposureSocialMediaAd} \times \text{numSocialMediaAds}$,The number of radio advertisements should not exceed MaxRadioAds,$numRadioAds \\leq MaxRadioAds$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}",A cleaning company aims to maximize exposure for promoting their new product without exceeding their TotalBudget. They will advertise using radio ads and social media ads. Each radio ad costs CostRadioAd and provides ExposureRadioAd exposure. Each social media ad costs CostSocialMediaAd and delivers ExposureSocialMediaAd exposure. The company aims to run between MinRadioAds and MaxRadioAds radio ads and at least MinSocialMediaAds social media ads while staying within the TotalBudget.,3
8,"""The goal is to maximize the exposure for the new product by determining the optimal number of radio and social media advertisements within the budget and given constraints.""",$\max \text{ExposureRadioAd} \times \text{numRadioAds} + \text{ExposureSocialMediaAd} \times \text{numSocialMediaAds}$,The number of social media advertisements should be at least MinSocialMediaAds,$\text{numSocialMediaAds} \geq \text{MinSocialMediaAds}$,"{'types': ['Resource Allocation and Management', 'Selection'], 'domains': ['Retail and E-commerce']}",A cleaning company aims to maximize exposure for promoting their new product without exceeding their TotalBudget. They will advertise using radio ads and social media ads. Each radio ad costs CostRadioAd and provides ExposureRadioAd exposure. Each social media ad costs CostSocialMediaAd and delivers ExposureSocialMediaAd exposure. The company aims to run between MinRadioAds and MaxRadioAds radio ads and at least MinSocialMediaAds social media ads while staying within the TotalBudget.,3
9,"""The goal is to maximize the profit from producing long and short cables""",$\max (\text{ProfitPerLongCable} \times \text{longCables} + \text{ProfitPerShortCable} \times \text{shortCables})$,The total gold used for making long and short cables should not exceed TotalGold,$GoldPerLongCable \cdot longCables + GoldPerShortCable \cdot shortCables \leq TotalGold$,"{'types': ['Resource Allocation and Management', 'Production Planning'], 'domains': ['Manufacturing and Production', 'Supply Chain Management']}","There is TotalGold available that is needed to make long and short cables. Long cables require GoldPerLongCable while short cables require GoldPerShortCable. Because of their compact size, the number of short cables should be at least ShortCableMultiplier times the number of long cables. In addition, there needs to be at least MinLongCables made. If each long cable sold results in a ProfitPerLongCable and each short cable sold results in a ProfitPerShortCable, how many of each type of cable should be made to maximize profit?",4
